,0
0,Maryland
1,Vermont
2,Mississippi
3,Nebraska
4,Nevada
5,Missouri
6,New Jersey
7,South Dakota
8,Wyoming
9,Hawaii
10,Indiana
11,Oregon
12,Kentucky
13,Maine
14,Texas
15,Alabama
16,Kansas
17,Arizona
18,Minnesota
19,Colorado
20,Virginia
21,Washington
22,Georgia
23,Iowa
24,Wisconsin
25,New Mexico
26,New Hampshire
27,West Virginia
28,Oklahoma
29,Louisiana
30,Massachusetts
31,Idaho
32,Delaware
33,South Carolina
34,Tennessee
35,Alaska
36,North Dakota
37,Pennsylvania
38,Arkansas
39,Connecticut
40,Florida
41,California
42,North Carolina
43,Illinois
44,Rhode Island
45,Montana
46,Utah
47,Michigan
